,word1,word2,sim,simPredict
123,gezerken,ezerken,0.1625,0.4558856189250946
124,kızların,erkeklerin,0.6679999999999999,0.8084925413131714
125,yaparken,sayarken,0.244,0.35422083735466003
126,derslerde,sınıflarda,0.692,0.6078072786331177
127,yarışmalarının,savaşmalarının,0.312,0.42506536841392517
128,bitkilerin,etkilerin,0.13999999999999999,0.40391242504119873
129,merdivenleri,eldivenleri,0.136,0.37590134143829346
131,yazılarımız,kazılarımız,0.16,0.4364190697669983
132,okullarda,hastanelerde,0.376,0.5700600743293762
133,kalabalık,salatalık,0.128,0.11593122035264969
136,yapraklar,taraklar,0.136,0.4014089107513428
137,şemsiyem,seviyem,0.12079999999999999,0.16420108079910278
138,şehirleri,şehriyeleri,0.124,0.2611023485660553
